URI;rdf:type;localURI;identifier;arkId;skos:prefLabel@de;skos:prefLabel@en;skos:prefLabel@ar;skos:prefLabel@es;skos:prefLabel@fr;skos:prefLabel@el;skos:prefLabel@he;skos:prefLabel@it;skos:prefLabel@nl;skos:prefLabel@ru;skos:altLabel@de;skos:altLabel@en;skos:altLabel@ar;skos:altLabel@es;skos:altLabel@fr;skos:altLabel@el;skos:altLabel@he;skos:altLabel@it;skos:altLabel@nl;skos:altLabel@ru;skos:hiddenLabel@de;skos:hiddenLabel@en;skos:hiddenLabel@ar;skos:hiddenLabel@es;skos:hiddenLabel@fr;skos:hiddenLabel@el;skos:hiddenLabel@he;skos:hiddenLabel@it;skos:hiddenLabel@nl;skos:hiddenLabel@ru;skos:definition@de;skos:definition@en;skos:definition@ar;skos:definition@es;skos:definition@fr;skos:definition@el;skos:definition@he;skos:definition@it;skos:definition@nl;skos:definition@ru;skos:scopeNote@de;skos:scopeNote@en;skos:scopeNote@ar;skos:scopeNote@es;skos:scopeNote@fr;skos:scopeNote@el;skos:scopeNote@he;skos:scopeNote@it;skos:scopeNote@nl;skos:scopeNote@ru;skos:note@de;skos:note@en;skos:note@ar;skos:note@es;skos:note@fr;skos:note@el;skos:note@he;skos:note@it;skos:note@nl;skos:note@ru;skos:historyNote@de;skos:historyNote@en;skos:historyNote@ar;skos:historyNote@es;skos:historyNote@fr;skos:historyNote@el;skos:historyNote@he;skos:historyNote@it;skos:historyNote@nl;skos:historyNote@ru;skos:editorialNote@de;skos:editorialNote@en;skos:editorialNote@ar;skos:editorialNote@es;skos:editorialNote@fr;skos:editorialNote@el;skos:editorialNote@he;skos:editorialNote@it;skos:editorialNote@nl;skos:editorialNote@ru;skos:changeNote@de;skos:changeNote@en;skos:changeNote@ar;skos:changeNote@es;skos:changeNote@fr;skos:changeNote@el;skos:changeNote@he;skos:changeNote@it;skos:changeNote@nl;skos:changeNote@ru;skos:example@de;skos:example@en;skos:example@ar;skos:example@es;skos:example@fr;skos:example@el;skos:example@he;skos:example@it;skos:example@nl;skos:example@ru;skos:notation;skos:narrower;narrowerId;skos:broader;broaderId;skos:related;relatedId;skos:exactMatch;skos:closeMatch;geo:lat;geo:long;geo:gps;skos:member;memberId;iso-thes:subGroup;iso-thes:superOrdinate;owl:deprecated;dcterms:isReplacedBy;foaf:Image;dcterms:source;dcterms:created;dcterms:modified
https://ark.frantiq.fr/ark:/26678/pcrts5kq8x52nf;skos:Collection;;;;;Facet : Social collective entities;;;P2-ENTITÉS SOCIALES COLLECTIVES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtmwrEXUKR07##https://ark.frantiq.fr/ark:/26678/pcrtmJENHlMtcF##https://ark.frantiq.fr/ark:/26678/pcrt0f7vAOIWS2##https://ark.frantiq.fr/ark:/26678/pcrtgzT3iPmALm##https://ark.frantiq.fr/ark:/26678/pcrtUYsQrcK2ij##https://ark.frantiq.fr/ark:/26678/pcrt65t8HtqQtK##https://ark.frantiq.fr/ark:/26678/pcrt9MZnacjb5Y##https://ark.frantiq.fr/ark:/26678/pcrtwZZRWJSITM##https://ark.frantiq.fr/ark:/26678/pcrtvt7lNlU3VQ##https://ark.frantiq.fr/ark:/26678/pcrtGTK4xMLBAB##https://ark.frantiq.fr/ark:/26678/pcrtgE4pHNat6W##https://ark.frantiq.fr/ark:/26678/pcrtA56TqYxlPi##https://ark.frantiq.fr/ark:/26678/pcrtzpDJK1sK3X##https://ark.frantiq.fr/ark:/26678/pcrtAziBYV7ZEo##https://ark.frantiq.fr/ark:/26678/pcrtjg8adfR3nr##https://ark.frantiq.fr/ark:/26678/pcrtTjJOGknE8Z##https://ark.frantiq.fr/ark:/26678/pcrtcm41DKVMlu##https://ark.frantiq.fr/ark:/26678/pcrtzUB2INUjpr##https://ark.frantiq.fr/ark:/26678/pcrtRLpzUzUbJP##https://ark.frantiq.fr/ark:/26678/pcrtiABmjTRFmJ##https://ark.frantiq.fr/ark:/26678/pcrtxgLIMipixb##https://ark.frantiq.fr/ark:/26678/pcrt8IKnD9fXtI##https://ark.frantiq.fr/ark:/26678/pcrtdTBth2LgTe##https://ark.frantiq.fr/ark:/26678/pcrtjyQVKT7K6O##https://ark.frantiq.fr/ark:/26678/pcrtdJyHYwvubf##https://ark.frantiq.fr/ark:/26678/pcrtNoupej4mXn##https://ark.frantiq.fr/ark:/26678/pcrtsy8ZSrfudp##https://ark.frantiq.fr/ark:/26678/pcrtjSjrm2VnSy##https://ark.frantiq.fr/ark:/26678/pcrtX9hIpEsNpd##https://ark.frantiq.fr/ark:/26678/pcrtyFIDkPnLlS##https://ark.frantiq.fr/ark:/26678/pcrtfRsB7bzupa##https://ark.frantiq.fr/ark:/26678/pcrtfy3Q6VEKFW##https://ark.frantiq.fr/ark:/26678/pcrtSN3S26ATfL##https://ark.frantiq.fr/ark:/26678/pcrtWMQyubLmxZ##https://ark.frantiq.fr/ark:/26678/pcrtuZA4RKNDF7##https://ark.frantiq.fr/ark:/26678/pcrtsybJRiiSaa##https://ark.frantiq.fr/ark:/26678/pcrtcZXxvwiOgy##https://ark.frantiq.fr/ark:/26678/pcrtQJIO5OQT41##https://ark.frantiq.fr/ark:/26678/pcrtqaRGD15q3Q##https://ark.frantiq.fr/ark:/26678/pcrtA4q0ZavI4W##https://ark.frantiq.fr/ark:/26678/pcrtwIoH1lMxY4##https://ark.frantiq.fr/ark:/26678/pcrtkuVRERHKGR##https://ark.frantiq.fr/ark:/26678/pcrtxizW65mJ49##https://ark.frantiq.fr/ark:/26678/pcrtaS0hStUkrV##https://ark.frantiq.fr/ark:/26678/pcrtQaga2vgcrm##https://ark.frantiq.fr/ark:/26678/pcrtDz6FAhsh6y##https://ark.frantiq.fr/ark:/26678/pcrtgDUxSdRAme##https://ark.frantiq.fr/ark:/26678/pcrtfgbTf8dbyO##https://ark.frantiq.fr/ark:/26678/pcrtLPSlOUeaFi##https://ark.frantiq.fr/ark:/26678/pcrt2QMfvVPT6u##https://ark.frantiq.fr/ark:/26678/pcrt8B6fSH1cS7##https://ark.frantiq.fr/ark:/26678/pcrtufeQDy8WUs##https://ark.frantiq.fr/ark:/26678/pcrtEE1qe7b07e##https://ark.frantiq.fr/ark:/26678/pcrtScr6ezDU6D##https://ark.frantiq.fr/ark:/26678/pcrtnN1gEm6iYG##https://ark.frantiq.fr/ark:/26678/pcrtnY2OZuVaEs##https://ark.frantiq.fr/ark:/26678/pcrtoyLU25Xoz1##https://ark.frantiq.fr/ark:/26678/pcrtlUPuEy3KWk##https://ark.frantiq.fr/ark:/26678/pcrtDXZStrVYoM##https://ark.frantiq.fr/ark:/26678/pcrtTuKv1rrbQF##https://ark.frantiq.fr/ark:/26678/pcrtbTwnVl3xKL##https://ark.frantiq.fr/ark:/26678/pcrtdbdsWw7h2B##https://ark.frantiq.fr/ark:/26678/pcrt21RS8L1DTZ##https://ark.frantiq.fr/ark:/26678/pcrt943eNWUji4##https://ark.frantiq.fr/ark:/26678/pcrtbgMATQiLX4##https://ark.frantiq.fr/ark:/26678/pcrtpAmioxn6lc##https://ark.frantiq.fr/ark:/26678/pcrtSZRolHtWnA##https://ark.frantiq.fr/ark:/26678/pcrtqethkqaNhR##https://ark.frantiq.fr/ark:/26678/pcrtULttS9GIrn##https://ark.frantiq.fr/ark:/26678/pcrtKPKSRRMdbB##https://ark.frantiq.fr/ark:/26678/pcrtN11IPuP5rc##https://ark.frantiq.fr/ark:/26678/pcrtkUOUfhIavk##https://ark.frantiq.fr/ark:/26678/pcrtj8VoEOkH9q##https://ark.frantiq.fr/ark:/26678/pcrtQ1qNhgFmao##https://ark.frantiq.fr/ark:/26678/pcrtJwWgjqN195##https://ark.frantiq.fr/ark:/26678/pcrt6Bxd07j7Ni##https://ark.frantiq.fr/ark:/26678/pcrtO5QaMJbyUf##https://ark.frantiq.fr/ark:/26678/pcrtBStLfVUpiv##https://ark.frantiq.fr/ark:/26678/pcrtIBBzDtHASy##https://ark.frantiq.fr/ark:/26678/pcrt0rQVDaNZ4V##https://ark.frantiq.fr/ark:/26678/pcrtqkbXh5YDPG##https://ark.frantiq.fr/ark:/26678/pcrtOX6iAwmm9S##https://ark.frantiq.fr/ark:/26678/pcrtcswfkLieJo##https://ark.frantiq.fr/ark:/26678/pcrtxmeGKwivUD##https://ark.frantiq.fr/ark:/26678/pcrtgOPqvnJgdU##https://ark.frantiq.fr/ark:/26678/pcrt8ZVR5ZSxvu##https://ark.frantiq.fr/ark:/26678/pcrt4GBikp6RKx##https://ark.frantiq.fr/ark:/26678/pcrtgU5LqkI2d1##https://ark.frantiq.fr/ark:/26678/pcrt0bOnESvRsW##https://ark.frantiq.fr/ark:/26678/pcrtvOY6KXyI9x##https://ark.frantiq.fr/ark:/26678/pcrthe0bIqpaWw##https://ark.frantiq.fr/ark:/26678/pcrtxN5iMioSxL##https://ark.frantiq.fr/ark:/26678/pcrt3Oay0dEeNy##https://ark.frantiq.fr/ark:/26678/pcrtgGeSc2OzSA##https://ark.frantiq.fr/ark:/26678/pcrto1B8tFBbYh##https://ark.frantiq.fr/ark:/26678/pcrtF7MVFVqc80##https://ark.frantiq.fr/ark:/26678/pcrtFoRtvSw7kM##https://ark.frantiq.fr/ark:/26678/pcrtsATltSFmba##https://ark.frantiq.fr/ark:/26678/pcrt3mQjNBZrQs##https://ark.frantiq.fr/ark:/26678/pcrt9zOnWQjwz9##https://ark.frantiq.fr/ark:/26678/pcrtOd4cleR5QE##https://ark.frantiq.fr/ark:/26678/pcrtExwhMubSfx##https://ark.frantiq.fr/ark:/26678/pcrtcO4KW8zUxZ##https://ark.frantiq.fr/ark:/26678/pcrtBrqZWsEDSu##https://ark.frantiq.fr/ark:/26678/pcrtuutqsphua6##https://ark.frantiq.fr/ark:/26678/pcrtlp1OFwcxfE##https://ark.frantiq.fr/ark:/26678/pcrtUJMzIINORw##https://ark.frantiq.fr/ark:/26678/pcrtE322xPRgxL##https://ark.frantiq.fr/ark:/26678/pcrtX3KGZZcFg2##https://ark.frantiq.fr/ark:/26678/pcrtUzSq6lgiFq##https://ark.frantiq.fr/ark:/26678/pcrthoMrS3qnLo##https://ark.frantiq.fr/ark:/26678/pcrtXl7NZgF8IA##https://ark.frantiq.fr/ark:/26678/pcrtiOsQ2Et3AF##https://ark.frantiq.fr/ark:/26678/pcrtu9I4uLVXyH##https://ark.frantiq.fr/ark:/26678/pcrtnz7hwxgTNX##https://ark.frantiq.fr/ark:/26678/pcrtOsxJT4LGRE##https://ark.frantiq.fr/ark:/26678/pcrtZ6BRAuHO1x##https://ark.frantiq.fr/ark:/26678/pcrtn0qTeZhS6S##https://ark.frantiq.fr/ark:/26678/pcrtuoZ5H5qivl##https://ark.frantiq.fr/ark:/26678/pcrt5jEHsAS2lp##https://ark.frantiq.fr/ark:/26678/pcrtq0vazjRSi8##https://ark.frantiq.fr/ark:/26678/pcrtR3UkdvnDGA##https://ark.frantiq.fr/ark:/26678/pcrt7vLkeZro2h##https://ark.frantiq.fr/ark:/26678/pcrtFRE341NEg9##https://ark.frantiq.fr/ark:/26678/pcrtsfNjq9l4Oe##https://ark.frantiq.fr/ark:/26678/pcrtlMn7vpBl2F##https://ark.frantiq.fr/ark:/26678/pcrtUP6h0RqRV0##https://ark.frantiq.fr/ark:/26678/pcrt89zWH7jpRM##https://ark.frantiq.fr/ark:/26678/pcrtvEh8SAa1Nr##https://ark.frantiq.fr/ark:/26678/pcrt4Ntkdf9S4q##https://ark.frantiq.fr/ark:/26678/pcrt3KAIEU7WgX##https://ark.frantiq.fr/ark:/26678/pcrt5t2drGln1y##https://ark.frantiq.fr/ark:/26678/pcrtPWZ0vptq25##https://ark.frantiq.fr/ark:/26678/pcrt5Vyzd3D9vw##https://ark.frantiq.fr/ark:/26678/pcrtpy25RXapbm##https://ark.frantiq.fr/ark:/26678/pcrt29Voi1AOMa##https://ark.frantiq.fr/ark:/26678/pcrtQhPfhX3FU5##https://ark.frantiq.fr/ark:/26678/pcrt1buth3q7SQ##https://ark.frantiq.fr/ark:/26678/pcrtFoO4fLvQDw##https://ark.frantiq.fr/ark:/26678/pcrt9qNLM9voWW##https://ark.frantiq.fr/ark:/26678/pcrttV6XwP4wBv##https://ark.frantiq.fr/ark:/26678/pcrtrYZPFi88VQ##https://ark.frantiq.fr/ark:/26678/pcrtXv6ew1867F##https://ark.frantiq.fr/ark:/26678/pcrtr0nBiKwVYI##https://ark.frantiq.fr/ark:/26678/pcrtVJmokfYBiq##https://ark.frantiq.fr/ark:/26678/crttUGNGTBjKc##https://ark.frantiq.fr/ark:/26678/crtWO3Jmx5Ozd##https://ark.frantiq.fr/ark:/26678/crtiF2SfFW119##https://ark.frantiq.fr/ark:/26678/crt5Xfjm3qcic##https://ark.frantiq.fr/ark:/26678/crtGjcFEg2cIj##https://ark.frantiq.fr/ark:/26678/crtLsENZlJGEv##https://ark.frantiq.fr/ark:/26678/crtBEZS4vIwhw##https://ark.frantiq.fr/ark:/26678/crtHeV4upMO9v##https://ark.frantiq.fr/ark:/26678/crt3KOSi8EBaT##https://ark.frantiq.fr/ark:/26678/crthUyMVOXAk5##https://ark.frantiq.fr/ark:/26678/crtIYTtZ7xdsc##https://ark.frantiq.fr/ark:/26678/crtoQ312EsBA1##https://ark.frantiq.fr/ark:/26678/pcrtIJYtBwwnS2##https://ark.frantiq.fr/ark:/26678/pcrtSmZQR19KQ9##https://ark.frantiq.fr/ark:/26678/pcrtbNUNRnBldV##https://ark.frantiq.fr/ark:/26678/pcrt3L3gyyxoTy##https://ark.frantiq.fr/ark:/26678/pcrtI5PkmmlTNS##https://ark.frantiq.fr/ark:/26678/pcrtDjfeS1PyaR##https://ark.frantiq.fr/ark:/26678/pcrtVTAgkStDhn##https://ark.frantiq.fr/ark:/26678/pcrtgxhRLofhb3##https://ark.frantiq.fr/ark:/26678/pcrt5petrAfI5Z##https://ark.frantiq.fr/ark:/26678/pcrtlSWsgHct8R##https://ark.frantiq.fr/ark:/26678/crt2mtop80lS9##https://ark.frantiq.fr/ark:/26678/pcrt4hfB8PS2og##https://ark.frantiq.fr/ark:/26678/pcrtEMkL33H6gX##https://ark.frantiq.fr/ark:/26678/pcrtnQFBp7vRwb##https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG##https://ark.frantiq.fr/ark:/26678/pcrtrqvz1bpdwb##https://ark.frantiq.fr/ark:/26678/pcrtggqpv8jpn4##https://ark.frantiq.fr/ark:/26678/pcrt8vk1jjdkq2##https://ark.frantiq.fr/ark:/26678/pcrthqc13cqnxw##https://ark.frantiq.fr/ark:/26678/pcrtkr5x313t7x##https://ark.frantiq.fr/ark:/26678/pcrt71pd59j1dn##https://ark.frantiq.fr/ark:/26678/pcrtw46tdwnw33##https://ark.frantiq.fr/ark:/26678/pcrtg7spdbrkmr##https://ark.frantiq.fr/ark:/26678/pcrt57cjcx55ng##https://ark.frantiq.fr/ark:/26678/pcrtjvd5jm92db##https://ark.frantiq.fr/ark:/26678/pcrthjgtr36z9k##https://ark.frantiq.fr/ark:/26678/pcrttbxggbkm3h##https://ark.frantiq.fr/ark:/26678/pcrttbvv59s3kc##https://ark.frantiq.fr/ark:/26678/pcrtxw48rnd0gr##https://ark.frantiq.fr/ark:/26678/pcrtmpr294q3hz##https://ark.frantiq.fr/ark:/26678/pcrtffc8hjqxb3n1hzv7mxt1##https://ark.frantiq.fr/ark:/26678/pcrt5qjq8vfgdj##https://ark.frantiq.fr/ark:/26678/pcrt36vmh0q1nv##https://ark.frantiq.fr/ark:/26678/pcrt9gvwn25xgs##https://ark.frantiq.fr/ark:/26678/pcrt7839kqsn5k##https://ark.frantiq.fr/ark:/26678/pcrt73qzf4gq73##https://ark.frantiq.fr/ark:/26678/pcrtb4FqNkkfrk##https://ark.frantiq.fr/ark:/26678/pcrtcJxKj39GTp##https://ark.frantiq.fr/ark:/26678/pcrt6OPaWEQNas##https://ark.frantiq.fr/ark:/26678/pcrtSA0jKZOkkW##https://ark.frantiq.fr/ark:/26678/pcrtMYaBIxkfiI##https://ark.frantiq.fr/ark:/26678/pcrtzvgvx28k7w##https://ark.frantiq.fr/ark:/26678/pcrthdbrd7n297ggx6h7ws5n##https://ark.frantiq.fr/ark:/26678/pcrtq7zt7rr68w1b826xk5s4##https://ark.frantiq.fr/ark:/26678/pcrthm6rxm6428zb905z6gn0##https://ark.frantiq.fr/ark:/26678/pcrtbb8xz4mmd6pwdrh28xmw##https://ark.frantiq.fr/ark:/26678/pcrtp91g2nz3kzsb8bcmzhj0##https://ark.frantiq.fr/ark:/26678/pcrt3336m0233g375kj3qj78##https://ark.frantiq.fr/ark:/26678/pcrtqzt6fqc013k1zjrq54sm##https://ark.frantiq.fr/ark:/26678/pcrt3w1hp9pj6zjs97x48dqt##https://ark.frantiq.fr/ark:/26678/pcrtnnq46tq1g8xk9b8h3g3d##https://ark.frantiq.fr/ark:/26678/pcrth1q2mqj1n5jp55xsf9x2##https://ark.frantiq.fr/ark:/26678/pcrtx4f9xvr7m4kmsw76x2ht##https://ark.frantiq.fr/ark:/26678/pcrtvgvp4tg6qvbrwbmnbp0x##https://ark.frantiq.fr/ark:/26678/pcrtQp8i0XsykH##https://ark.frantiq.fr/ark:/26678/pcrtwDKITsGcZT##https://ark.frantiq.fr/ark:/26678/pcrtzd41rtDBri##https://ark.frantiq.fr/ark:/26678/pcrtYc6EeLONyB##https://ark.frantiq.fr/ark:/26678/pcrtofLoHl5eje##https://ark.frantiq.fr/ark:/26678/pcrtWkZVMcX3r5;12499##12534##12540##12551##12570##12583##12585##12597##12605##12615##12622##12628##12632##12634##12638##12671##12679##12722##12749##12751##12756##12794##12799##12801##12807##12825##12826##12836##12851##12852##12856##12872##12919##12926##12958##13006##13026##13101##13154##13165##13173##13228##13314##13315##13316##13362##13363##13364##13365##13427##13431##13432##13433##13497##13508##13621##13787##13861##13909##13911##13912##13913##13916##13917##13918##13924##13927##13948##13959##13995##13996##14017##14038##14039##14040##14074##14114##14244##14464##14659##14691##14698##14699##14700##14701##14778##14876##14894##14929##14932##14988##150121##150122##15041##15142##15151##15224##15280##15281##15360##15363##15448##15449##15450##15451##15530##15546##15547##15550##155907##15794##15795##15879##15896##16009##16011##16106##16130##16147##16218##16302##16324##16341##16466##16478##16515##16547##16573##16601##16779##16881##16899##16900##16965##16966##17171##17195##17389##17391##17392##17522##17638##17655##17680##17693##177776##177890##177963##178044##178045##178046##178094##178391##178456##178468##178511##178547##18488##19610##21831##22520##22521##22522##22543##22544##2335##24106##246211##246244##246319##246694##246759##253458##253783##254059##254061##254062##254064##254065##254066##264604##264689##264690##265067##265068##265069##265079##265139##265208##266268##266270##266583##266870##26890##26933##27414##27475##28409##353551##354392##354733##354754##354763##354820##354850##354855##354856##354865##354874##354875##354879##35818##35821##36390##36391##36428##37051;;;false;;;;;
https://pactols.frantiq.fr/?idf=F223&idt=TH_1;skos-thes:ThesaurusArray;;F223;;;;;;organisations commerciales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt8ZVR5ZSxvu##https://ark.frantiq.fr/ark:/26678/pcrtrqvz1bpdwb##https://ark.frantiq.fr/ark:/26678/pcrtcJxKj39GTp##https://ark.frantiq.fr/ark:/26678/pcrtWkZVMcX3r5;14778##253458##26933##37051;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-03-24 14:31:02.373507+01;2022-03-24 14:31:02.373507+01
https://pactols.frantiq.fr/?idf=F501&idt=TH_1;skos-thes:ThesaurusArray;;F501;;;;;;organisations politiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtA4q0ZavI4W##https://ark.frantiq.fr/ark:/26678/pcrt2QMfvVPT6u##https://ark.frantiq.fr/ark:/26678/pcrtR3UkdvnDGA;13165##13427##16324;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-08-25 16:39:39.92712+02;2022-08-25 16:39:39.92712+02
https://pactols.frantiq.fr/?idf=F503&idt=TH_1;skos-thes:ThesaurusArray;;F503;;;;;;administrations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtIBBzDtHASy##https://ark.frantiq.fr/ark:/26678/pcrt3mQjNBZrQs##https://ark.frantiq.fr/ark:/26678/pcrt9zOnWQjwz9##https://ark.frantiq.fr/ark:/26678/pcrt5t2drGln1y##https://ark.frantiq.fr/ark:/26678/crtHeV4upMO9v;14464##15281##15360##16899##178391;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-08-25 16:39:55.744358+02;2022-08-25 16:39:55.744358+02
https://pactols.frantiq.fr/?idf=F605&idt=TH_1;skos-thes:ThesaurusArray;;F605;;;;;;groupes à caractère religieux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtyFIDkPnLlS##https://ark.frantiq.fr/ark:/26678/pcrt5petrAfI5Z##https://ark.frantiq.fr/ark:/26678/pcrt9gvwn25xgs;12852##2335##266270;;https://ark.frantiq.fr/ark:/26678/pcrt57cjcx55ng;false;;;;2022-09-13 15:08:41.944333+02;2022-09-13 15:08:41.944333+02
https://pactols.frantiq.fr/?idf=F617&idt=TH_1;skos-thes:ThesaurusArray;;F617;;;;;;institutions culturelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrthoMrS3qnLo##https://ark.frantiq.fr/ark:/26678/pcrtzvgvx28k7w;15794##353551;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-09-14 08:43:40.455659+02;2022-09-14 08:43:40.455659+02
https://pactols.frantiq.fr/?idf=F605&idt=TH_1;skos-thes:ThesaurusArray;;F605;;;religious groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtyFIDkPnLlS##https://ark.frantiq.fr/ark:/26678/pcrt5petrAfI5Z##https://ark.frantiq.fr/ark:/26678/pcrt9gvwn25xgs;12852##2335##266270;;https://ark.frantiq.fr/ark:/26678/pcrt57cjcx55ng;false;;;;2022-09-19 20:41:12.866405+02;2022-09-19 20:41:12.866405+02
https://pactols.frantiq.fr/?idf=F223&idt=TH_1;skos-thes:ThesaurusArray;;F223;;;commercial organizations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt8ZVR5ZSxvu##https://ark.frantiq.fr/ark:/26678/pcrtrqvz1bpdwb##https://ark.frantiq.fr/ark:/26678/pcrtcJxKj39GTp##https://ark.frantiq.fr/ark:/26678/pcrtWkZVMcX3r5;14778##253458##26933##37051;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-09-19 20:41:47.961094+02;2022-09-19 20:41:47.961094+02
https://pactols.frantiq.fr/?idf=F501&idt=TH_1;skos-thes:ThesaurusArray;;F501;;;political organisations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtA4q0ZavI4W##https://ark.frantiq.fr/ark:/26678/pcrt2QMfvVPT6u##https://ark.frantiq.fr/ark:/26678/pcrtR3UkdvnDGA;13165##13427##16324;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-09-19 20:41:59.578666+02;2022-09-19 20:41:59.578666+02
https://pactols.frantiq.fr/?idf=F503&idt=TH_1;skos-thes:ThesaurusArray;;F503;;;administrations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtIBBzDtHASy##https://ark.frantiq.fr/ark:/26678/pcrt3mQjNBZrQs##https://ark.frantiq.fr/ark:/26678/pcrt9zOnWQjwz9##https://ark.frantiq.fr/ark:/26678/pcrt5t2drGln1y##https://ark.frantiq.fr/ark:/26678/crtHeV4upMO9v;14464##15281##15360##16899##178391;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-09-19 20:42:11.201584+02;2022-09-19 20:42:11.201584+02
https://pactols.frantiq.fr/?idf=F617&idt=TH_1;skos-thes:ThesaurusArray;;F617;;;cultural institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrthoMrS3qnLo##https://ark.frantiq.fr/ark:/26678/pcrtzvgvx28k7w;15794##353551;;https://ark.frantiq.fr/ark:/26678/pcrtQTFW9uZaVG;false;;;;2022-09-19 20:42:21.385995+02;2022-09-19 20:42:21.385995+02
https://ark.frantiq.fr/ark:/26678/pcrtmwrEXUKR07;skos:Concept;https://pactols.frantiq.fr:8099/?idc=12499&idt=TH_1;12499;26678/pcrtmwrEXUKR07;Adamiter;Adamite;الآدميين;adamitas;adamites;;;adamiti;adamieten;;;Adamian;;adamianos;adamiens;;;adamiani;;;;;;;;;;;;;;;;;Adeptes de l'adamisme, doctrine du IIIe s. dont les membres paraissaient nus dans leurs assemblées (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtgE4pHNat6W;12622;;;https://catalogue.bnf.fr/ark:/12148/cb119808310##https://www.idref.fr/027856097##https://www.wikidata.org/wiki/Q41188;;;;;https://ark.frantiq.fr/ark:/26678/pcrts5kq8x52nf##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;12499##12499;;;false;;;;2007-02-08;2023-08-02
