URI;rdf:type;localURI;identifier;arkId;skos:prefLabel@de;skos:prefLabel@en;skos:prefLabel@ar;skos:prefLabel@es;skos:prefLabel@fr;skos:prefLabel@el;skos:prefLabel@he;skos:prefLabel@it;skos:prefLabel@nl;skos:prefLabel@ru;skos:altLabel@de;skos:altLabel@en;skos:altLabel@ar;skos:altLabel@es;skos:altLabel@fr;skos:altLabel@el;skos:altLabel@he;skos:altLabel@it;skos:altLabel@nl;skos:altLabel@ru;skos:hiddenLabel@de;skos:hiddenLabel@en;skos:hiddenLabel@ar;skos:hiddenLabel@es;skos:hiddenLabel@fr;skos:hiddenLabel@el;skos:hiddenLabel@he;skos:hiddenLabel@it;skos:hiddenLabel@nl;skos:hiddenLabel@ru;skos:definition@de;skos:definition@en;skos:definition@ar;skos:definition@es;skos:definition@fr;skos:definition@el;skos:definition@he;skos:definition@it;skos:definition@nl;skos:definition@ru;skos:scopeNote@de;skos:scopeNote@en;skos:scopeNote@ar;skos:scopeNote@es;skos:scopeNote@fr;skos:scopeNote@el;skos:scopeNote@he;skos:scopeNote@it;skos:scopeNote@nl;skos:scopeNote@ru;skos:note@de;skos:note@en;skos:note@ar;skos:note@es;skos:note@fr;skos:note@el;skos:note@he;skos:note@it;skos:note@nl;skos:note@ru;skos:historyNote@de;skos:historyNote@en;skos:historyNote@ar;skos:historyNote@es;skos:historyNote@fr;skos:historyNote@el;skos:historyNote@he;skos:historyNote@it;skos:historyNote@nl;skos:historyNote@ru;skos:editorialNote@de;skos:editorialNote@en;skos:editorialNote@ar;skos:editorialNote@es;skos:editorialNote@fr;skos:editorialNote@el;skos:editorialNote@he;skos:editorialNote@it;skos:editorialNote@nl;skos:editorialNote@ru;skos:changeNote@de;skos:changeNote@en;skos:changeNote@ar;skos:changeNote@es;skos:changeNote@fr;skos:changeNote@el;skos:changeNote@he;skos:changeNote@it;skos:changeNote@nl;skos:changeNote@ru;skos:example@de;skos:example@en;skos:example@ar;skos:example@es;skos:example@fr;skos:example@el;skos:example@he;skos:example@it;skos:example@nl;skos:example@ru;skos:notation;skos:narrower;narrowerId;skos:broader;broaderId;skos:related;relatedId;skos:exactMatch;skos:closeMatch;geo:lat;geo:long;geo:gps;skos:member;memberId;iso-thes:subGroup;iso-thes:superOrdinate;owl:deprecated;dcterms:isReplacedBy;foaf:Image;dcterms:source;dcterms:created;dcterms:modified
https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w;skos:Collection;;;;;Facet : Natural processes;;;P2-PROCESSUS NATURELS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;009;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtQMIHuzxSAB##https://ark.frantiq.fr/ark:/26678/pcrtNgd47kVbWY##https://ark.frantiq.fr/ark:/26678/pcrtqp9d8uPNT8##https://ark.frantiq.fr/ark:/26678/pcrtW7DJoo4qpK##https://ark.frantiq.fr/ark:/26678/pcrtr2LIg20u6S##https://ark.frantiq.fr/ark:/26678/pcrtvxa2xrJNyN##https://ark.frantiq.fr/ark:/26678/pcrtKjBS0dl9D7##https://ark.frantiq.fr/ark:/26678/pcrtIMIrp8B4SQ##https://ark.frantiq.fr/ark:/26678/pcrtrEpklX5nBf##https://ark.frantiq.fr/ark:/26678/pcrtgqeSG2yykw##https://ark.frantiq.fr/ark:/26678/pcrtmhUStm5T6Y##https://ark.frantiq.fr/ark:/26678/pcrtaFgRlZ06fN##https://ark.frantiq.fr/ark:/26678/pcrtJx2HDIIdoD##https://ark.frantiq.fr/ark:/26678/pcrthtMFLqgh9q##https://ark.frantiq.fr/ark:/26678/pcrtwG1pyg0JuX##https://ark.frantiq.fr/ark:/26678/pcrtP9MfvBMuAS##https://ark.frantiq.fr/ark:/26678/pcrtlruLNTcGr2##https://ark.frantiq.fr/ark:/26678/pcrtpXF9cZA8R4##https://ark.frantiq.fr/ark:/26678/pcrt9rcnQNYQDI##https://ark.frantiq.fr/ark:/26678/pcrtJr539WZs5X##https://ark.frantiq.fr/ark:/26678/pcrtNb90Egda4H##https://ark.frantiq.fr/ark:/26678/pcrtBOTJj2Qmbo##https://ark.frantiq.fr/ark:/26678/pcrtgR1ocYEN8V##https://ark.frantiq.fr/ark:/26678/pcrt1ruOoaJVm2##https://ark.frantiq.fr/ark:/26678/pcrtXTSrpwoTI7##https://ark.frantiq.fr/ark:/26678/pcrtwcBE2KhIIb##https://ark.frantiq.fr/ark:/26678/pcrtlpN5S0nkbh##https://ark.frantiq.fr/ark:/26678/pcrt8JpPBNyUGO##https://ark.frantiq.fr/ark:/26678/pcrtZnKEOuwY05##https://ark.frantiq.fr/ark:/26678/pcrt7Qmqisbluz##https://ark.frantiq.fr/ark:/26678/pcrtSMpLHhgtrx##https://ark.frantiq.fr/ark:/26678/pcrte8QNqufkN8##https://ark.frantiq.fr/ark:/26678/pcrtMFJP4dYca8##https://ark.frantiq.fr/ark:/26678/pcrtqw7yj7Uiav##https://ark.frantiq.fr/ark:/26678/pcrt51SBFSFlGJ##https://ark.frantiq.fr/ark:/26678/crtBPvpm4DFs9##https://ark.frantiq.fr/ark:/26678/crtay4Tk8BKhy##https://ark.frantiq.fr/ark:/26678/crtqS9lD5k91L##https://ark.frantiq.fr/ark:/26678/crtld2ph8osba##https://ark.frantiq.fr/ark:/26678/crtRIdLcsNv3a##https://ark.frantiq.fr/ark:/26678/crtY5A7qukASH##https://ark.frantiq.fr/ark:/26678/crtr7r7i7jmXo##https://ark.frantiq.fr/ark:/26678/pcrtyVRjRsNbck##https://ark.frantiq.fr/ark:/26678/pcrtbS6vQWdRL8##https://ark.frantiq.fr/ark:/26678/pcrtKPzJU4VDa5##https://ark.frantiq.fr/ark:/26678/pcrtETDxfQwmeV##https://ark.frantiq.fr/ark:/26678/pcrtNviEXKgdgu##https://ark.frantiq.fr/ark:/26678/pcrtdUfh5OOlGX##https://ark.frantiq.fr/ark:/26678/pcrt2AJNmdNlt5##https://ark.frantiq.fr/ark:/26678/pcrtS7gEQ2LkNm##https://ark.frantiq.fr/ark:/26678/pcrtGpkbj7hLSu##https://ark.frantiq.fr/ark:/26678/pcrt4iKgvIgmFy##https://ark.frantiq.fr/ark:/26678/pcrt0GD2WWYwvJ##https://ark.frantiq.fr/ark:/26678/pcrt0mep8n057D##https://ark.frantiq.fr/ark:/26678/pcrtLbkxcejUHY##https://ark.frantiq.fr/ark:/26678/pcrtB70LVTtzgP##https://ark.frantiq.fr/ark:/26678/pcrtijFi2N9Wyt##https://ark.frantiq.fr/ark:/26678/pcrtSm0N4v8msW##https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy##https://ark.frantiq.fr/ark:/26678/pcrt55441ZMYNm##https://ark.frantiq.fr/ark:/26678/pcrtb8pL8xI1LB##https://ark.frantiq.fr/ark:/26678/pcrtds413t0tp7##https://ark.frantiq.fr/ark:/26678/pcrtw65szs258q##https://ark.frantiq.fr/ark:/26678/pcrtnmbns7jfbg##https://ark.frantiq.fr/ark:/26678/pcrt0c5wnff3d6##https://ark.frantiq.fr/ark:/26678/pcrtp9tsh62g34##https://ark.frantiq.fr/ark:/26678/pcrtmf6gcq867v##https://ark.frantiq.fr/ark:/26678/pcrt2jrt0rh7x3##https://ark.frantiq.fr/ark:/26678/pcrt1v5fm4ntxd##https://ark.frantiq.fr/ark:/26678/pcrt45sct8h911##https://ark.frantiq.fr/ark:/26678/pcrthfbs5nwg8b##https://ark.frantiq.fr/ark:/26678/pcrtrsg0mv0cgr##https://ark.frantiq.fr/ark:/26678/pcrtvwtm0bfzjp##https://ark.frantiq.fr/ark:/26678/pcrt1zxwq0tr12##https://ark.frantiq.fr/ark:/26678/pcrt93s5fm622c##https://ark.frantiq.fr/ark:/26678/pcrtz48rw09pwx##https://ark.frantiq.fr/ark:/26678/pcrtcdph841k3x##https://ark.frantiq.fr/ark:/26678/pcrts1vk8p9xbs##https://ark.frantiq.fr/ark:/26678/pcrtb076r02jgq##https://ark.frantiq.fr/ark:/26678/pcrtxgn3m75cwb##https://ark.frantiq.fr/ark:/26678/pcrtjmc99b1sz7##https://ark.frantiq.fr/ark:/26678/pcrtxp4814526z##https://ark.frantiq.fr/ark:/26678/pcrtq3wbfpqn38##https://ark.frantiq.fr/ark:/26678/pcrtf7mhtk5qth##https://ark.frantiq.fr/ark:/26678/pcrt2sxmrj3cnn##https://ark.frantiq.fr/ark:/26678/pcrtfkkmjzzmh9##https://ark.frantiq.fr/ark:/26678/pcrt0q7rdcp3gh##https://ark.frantiq.fr/ark:/26678/pcrtzrsfms5v4g##https://ark.frantiq.fr/ark:/26678/pcrt70nkw0p7b8##https://ark.frantiq.fr/ark:/26678/pcrtpt6jfhxv4z##https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI##https://ark.frantiq.fr/ark:/26678/pcrtWpofBKQeyT##https://ark.frantiq.fr/ark:/26678/pcrtvcHyEKsYeM##https://ark.frantiq.fr/ark:/26678/pcrtLKK8DqqSAb##https://ark.frantiq.fr/ark:/26678/pcrt8WSK0FAVQq##https://ark.frantiq.fr/ark:/26678/pcrt8wjd7344crjcw4kcm9nj##https://ark.frantiq.fr/ark:/26678/pcrt49748YePRe##https://ark.frantiq.fr/ark:/26678/pcrt7x8q2crwcz71h2k3sxcf##https://ark.frantiq.fr/ark:/26678/pcrtbjqskkgbf0qdzmp8pzv5##https://ark.frantiq.fr/ark:/26678/pcrtV5mSOvUNoV##https://ark.frantiq.fr/ark:/26678/pcrtzzr9cz1pxp0mm1k94czz##https://ark.frantiq.fr/ark:/26678/pcrtREVS9rPi7K##https://ark.frantiq.fr/ark:/26678/pcrt7pQ5rgbvjw;13083##13104##13579##13773##13928##14179##14345##14541##14610##14706##14734##14775##150171##15033##15088##15100##151114##15204##15249##15345##15750##15870##15880##16577##16908##16978##17182##17187##17189##17487##17531##17610##17686##17703##17707##178225##178240##178462##178467##178544##178545##178556##18256##18257##19357##19359##20644##24104##24108##24149##24151##24155##246245##246248##246271##246281##246329##246343##246344##246634##246689##265041##266320##266337##266339##266341##266343##266587##266597##266599##266601##266603##266605##266607##266611##266613##266615##266617##266619##266621##266623##266625##266627##266629##266631##266633##266635##266645##266647##266649##27416##27661##27665##28645##35322##353536##35451##354565##354566##35468##354786##35797##36452;;;false;;;;;
https://pactols.frantiq.fr/?idf=F413&idt=TH_1;skos-thes:ThesaurusArray;;F413;;;;;;phénomènes géologiques;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/crtld2ph8osba##https://ark.frantiq.fr/ark:/26678/pcrtNviEXKgdgu##https://ark.frantiq.fr/ark:/26678/pcrtS7gEQ2LkNm##https://ark.frantiq.fr/ark:/26678/pcrtGpkbj7hLSu##https://ark.frantiq.fr/ark:/26678/pcrtds413t0tp7##https://ark.frantiq.fr/ark:/26678/pcrtnmbns7jfbg##https://ark.frantiq.fr/ark:/26678/pcrt0c5wnff3d6##https://ark.frantiq.fr/ark:/26678/pcrtp9tsh62g34##https://ark.frantiq.fr/ark:/26678/pcrtzrsfms5v4g##https://ark.frantiq.fr/ark:/26678/pcrtLKK8DqqSAb;178467##20644##24149##24151##265041##266337##266339##266341##266645##28645;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-08-19 13:39:17.588613+02;2022-08-19 13:39:17.588613+02
https://pactols.frantiq.fr/?idf=F411&idt=TH_1;skos-thes:ThesaurusArray;;F411;;;;;;phénomènes naturels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtr2LIg20u6S##https://ark.frantiq.fr/ark:/26678/pcrtmhUStm5T6Y##https://ark.frantiq.fr/ark:/26678/pcrtwcBE2KhIIb##https://ark.frantiq.fr/ark:/26678/pcrtlpN5S0nkbh##https://ark.frantiq.fr/ark:/26678/pcrte8QNqufkN8##https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI##https://ark.frantiq.fr/ark:/26678/pcrtV5mSOvUNoV;13928##14734##16978##17182##17610##27416##35468;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-08-19 13:37:10.209529+02;2022-08-19 13:37:10.209529+02
https://pactols.frantiq.fr/?idf=F433&idt=TH_1;skos-thes:ThesaurusArray;;F433;;;;;;stades du développement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtNgd47kVbWY##https://ark.frantiq.fr/ark:/26678/pcrtrEpklX5nBf##https://ark.frantiq.fr/ark:/26678/pcrtJr539WZs5X##https://ark.frantiq.fr/ark:/26678/pcrtSMpLHhgtrx;13104##14610##15345##17531;;https://ark.frantiq.fr/ark:/26678/pcrt2jrt0rh7x3;false;;;;2022-08-24 08:57:20.804669+02;2022-08-24 08:57:20.804669+02
https://pactols.frantiq.fr/?idf=F429&idt=TH_1;skos-thes:ThesaurusArray;;F429;;;;;;modifications liées au milieu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/crtay4Tk8BKhy##https://ark.frantiq.fr/ark:/26678/pcrtETDxfQwmeV##https://ark.frantiq.fr/ark:/26678/pcrtdUfh5OOlGX##https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI##https://ark.frantiq.fr/ark:/26678/pcrt8WSK0FAVQq;178240##19359##24104##27416##35322;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-08-23 15:54:39.20819+02;2022-08-23 15:54:39.20819+02
https://pactols.frantiq.fr/?idf=F411&idt=TH_1;skos-thes:ThesaurusArray;;F411;;;natural phenomena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtr2LIg20u6S##https://ark.frantiq.fr/ark:/26678/pcrtmhUStm5T6Y##https://ark.frantiq.fr/ark:/26678/pcrtwcBE2KhIIb##https://ark.frantiq.fr/ark:/26678/pcrtlpN5S0nkbh##https://ark.frantiq.fr/ark:/26678/pcrte8QNqufkN8##https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI##https://ark.frantiq.fr/ark:/26678/pcrtV5mSOvUNoV;13928##14734##16978##17182##17610##27416##35468;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-09-19 20:36:16.280515+02;2022-09-19 20:36:16.280515+02
https://pactols.frantiq.fr/?idf=F413&idt=TH_1;skos-thes:ThesaurusArray;;F413;;;geological phenomena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/crtld2ph8osba##https://ark.frantiq.fr/ark:/26678/pcrtNviEXKgdgu##https://ark.frantiq.fr/ark:/26678/pcrtS7gEQ2LkNm##https://ark.frantiq.fr/ark:/26678/pcrtGpkbj7hLSu##https://ark.frantiq.fr/ark:/26678/pcrtds413t0tp7##https://ark.frantiq.fr/ark:/26678/pcrtnmbns7jfbg##https://ark.frantiq.fr/ark:/26678/pcrt0c5wnff3d6##https://ark.frantiq.fr/ark:/26678/pcrtp9tsh62g34##https://ark.frantiq.fr/ark:/26678/pcrtzrsfms5v4g##https://ark.frantiq.fr/ark:/26678/pcrtLKK8DqqSAb;178467##20644##24149##24151##265041##266337##266339##266341##266645##28645;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-09-19 20:36:26.731484+02;2022-09-19 20:36:26.731484+02
https://pactols.frantiq.fr/?idf=F429&idt=TH_1;skos-thes:ThesaurusArray;;F429;;;environmental changes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/crtay4Tk8BKhy##https://ark.frantiq.fr/ark:/26678/pcrtETDxfQwmeV##https://ark.frantiq.fr/ark:/26678/pcrtdUfh5OOlGX##https://ark.frantiq.fr/ark:/26678/pcrtAKMg1dqQYI##https://ark.frantiq.fr/ark:/26678/pcrt8WSK0FAVQq;178240##19359##24104##27416##35322;;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;false;;;;2022-09-19 20:36:36.739007+02;2022-09-19 20:36:36.739007+02
https://ark.frantiq.fr/ark:/26678/pcrtQMIHuzxSAB;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13083&idt=TH_1;13083;26678/pcrtQMIHuzxSAB;Entbindung;childbirth;وِلادة;parto;accouchement;;;parto;bevalling;;;birth##labor and delivery##labour and delivery;;dar a luz;;;;;;;;;;;;;;;;;;;;;Processus physiologique de mise au monde d'un enfant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt2jrt0rh7x3;266587;https://ark.frantiq.fr/ark:/26678/pcrthVHcfmv1xQ##https://ark.frantiq.fr/ark:/26678/pcrtyVZtz7Dpen##https://ark.frantiq.fr/ark:/26678/pcrtBOTJj2Qmbo##https://ark.frantiq.fr/ark:/26678/pcrt8IrAKktMNd;14724##14966##15870##16864;https://catalogue.bnf.fr/ark:/12148/cb11931223x##https://www.wikidata.org/wiki/Q34581;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13083##13083;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtNgd47kVbWY;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13104&idt=TH_1;13104;26678/pcrtNgd47kVbWY;Jugend;adolescence;مراهقة;adolescencia;adolescence;;;adolescenza;adolescentie;;Adoleszenz##Pubertät;;;;;;;;;;;;;;;;;;;;;;;;Phase du développement humain physique et mental qui se produit pendant la période de la vie humaine s'étendant de la puberté jusqu'à l'âge adulte. (Wikipedia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt2jrt0rh7x3;266587;https://ark.frantiq.fr/ark:/26678/pcrtrg5RZoroR7;13105;https://catalogue.bnf.fr/ark:/12148/cb11951698b##https://www.wikidata.org/wiki/Q131774##http://vocab.getty.edu/aat/300189595;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13104##13104;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtqp9d8uPNT8;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13579&idt=TH_1;13579;26678/pcrtqp9d8uPNT8;Bisexualität;bisexuality;ثنائية الجنس;bisexualidad;bisexualité;;;bisessualità;biseksualiteit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtXTSrpwoTI7;16908;;;https://catalogue.bnf.fr/ark:/12148/cb11948430n##https://www.wikidata.org/wiki/Q43200##http://vocab.getty.edu/aat/300163397;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13579##13579;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtW7DJoo4qpK;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13773&idt=TH_1;13773;26678/pcrtW7DJoo4qpK;Naturkatastrophe;cataclysm;كارثة أرضية;cataclismo;cataclysme;;;cataclisma;cataclysme;;;catastrophe##natural disaster;;catástrofe natural;catastrophe naturelle;;;calamità##disastro naturale;;;;;;;;;;;;;;Major upheaval caused by a destructive natural phenomenon (flood, earthquake, etc.). (CNRTL);;;Grand bouleversement causé par un phénomène naturel destructeur (inondations, tremblement de terre, etc.). (CNRTL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2024-06-28 : modification de la définition et traduction en anglais via Deepl.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSm0N4v8msW;246343;;;https://www.wikidata.org/wiki/Q1516328;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13773##13773;;;false;;;;2007-02-08;2024-06-28
https://ark.frantiq.fr/ark:/26678/pcrtr2LIg20u6S;skos:Concept;https://pactols.frantiq.fr:8099/?idc=13928&idt=TH_1;13928;26678/pcrtr2LIg20u6S;Klima;climate;مناخ;clima;climat;;;clima;klimaat;;;;;;;;;;;;;;;;;;;;;;;;;;Ensemble des phénomènes métérologiques caractéristiques d'un lieu donné (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt7Qmqisbluz##https://ark.frantiq.fr/ark:/26678/crtRIdLcsNv3a##https://ark.frantiq.fr/ark:/26678/crtY5A7qukASH##https://ark.frantiq.fr/ark:/26678/crtr7r7i7jmXo##https://ark.frantiq.fr/ark:/26678/pcrt0GD2WWYwvJ;17487##178544##178545##178556##246245;https://ark.frantiq.fr/ark:/26678/pcrtA40nPyUzoy;246344;https://ark.frantiq.fr/ark:/26678/pcrtgqeSG2yykw##https://ark.frantiq.fr/ark:/26678/pcrtXSSRgR9SYN;14706##15862;https://catalogue.bnf.fr/ark:/12148/cb119540674##https://www.wikidata.org/wiki/Q7937##http://vocab.getty.edu/aat/300055322;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;13928##13928;;;false;;;;2007-02-08;2023-08-02
https://ark.frantiq.fr/ark:/26678/pcrtvxa2xrJNyN;skos:Concept;https://pactols.frantiq.fr:8099/?idc=14179&idt=TH_1;14179;26678/pcrtvxa2xrJNyN;Hochwasser;flood;فيضان;crecida;crue;;;piena;hoogwater;;;;;;;;;;;;;;;;;;;;;;;A rise in the level of a watercourse resulting from melting snow or ice or heavy rainfall. (Lar.);;;Élévation du niveau d'un cours d'eau, résultant de la fonte des neiges ou des glaces ou de pluies abondantes. (Lar.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2024-06-28 : modification de la définition et ajout de sa traduction en anglais via Deepl.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrtSm0N4v8msW;246343;;;https://www.wikidata.org/wiki/Q2369493;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;14179##14179;;;false;;;;2007-02-08;2024-06-28
https://ark.frantiq.fr/ark:/26678/pcrtKjBS0dl9D7;skos:Concept;https://pactols.frantiq.fr:8099/?idc=14345&idt=TH_1;14345;26678/pcrtKjBS0dl9D7;Gebiss;tooth eruption;إسنان;dentición;dentition;;;dentizione;gebit;;;tooth development;;;;;;;;;;;;;;;;;;;;;;;<p>La dentition désigne l'ensemble des phénomènes concernant la formation, la croissance et l'éruption des dents à travers la gencive, et, plus particulièrement leur mise en place sur l'arcade. Le terme de dentition est souvent utilisé, dans le langage courant, pour désigner le nombre, la nature, et la disposition des dents d'un animal ou d'un être humain. Cependant cette acception est incorrecte. Il convient donc de lui préférer le mot denture (Wikipédia).</p>;;;;;;;;;;Pour désigner le nombre, la nature, et la disposition des dents d'un animal ou d'un être humain, utiliser le mot denture.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://ark.frantiq.fr/ark:/26678/pcrt2jrt0rh7x3;266587;https://ark.frantiq.fr/ark:/26678/pcrthA4kIWMu84##https://ark.frantiq.fr/ark:/26678/crt6rwlUo03oe;14343##177973;https://www.wikidata.org/wiki/Q641973;;;;;https://ark.frantiq.fr/ark:/26678/pcrtcg5jzppf8w##https://ark.frantiq.fr/ark:/26678/pcrtnbDLi2FkAj;14345##14345;;;false;;;;2007-02-08;2023-08-02
